USUBJID	USUBJID_NUM	FIRST_DOSE_DATE	TREATMENT_GROUP_NUMBER	SEX	TREATMENT_GROUP_DESCRIPTION	STUDY_ID	TIME_DAY	TIME_PLUS_2_DAY	TIME_PLUS_12_DAY	TUMOR_VOLUME_L	TUMOR_MASS_G	DOSE_UMOLEPKG
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	15	17	27	0.00043787	0.4597635	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	21	23	33	0.000492383	0.51700215	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	23	25	35	0.000539448	0.5664204	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	27	29	39	0.000725925	0.76222125	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	30	32	42	0.000826207	0.86751735	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	34	36	46	0.000832432	0.8740536	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	37	39	49	0.000922172	0.9682806	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	41	43	53	0.001013904	1.0645992	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	44	46	56	0.001162045	1.22014725	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	48	50	60	0.001219962	1.2809601	0
1200115_320083	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	51	53	63	0.001387996	1.4573958	0
